title,author,pages,SalesRank,ASIN,tags,year
A Constellation Of Vital Phenomena: A Novel,Anthony Marra,384,654769,0770436404,staff picks;realistic fiction;for history lovers;tales from around the world;seriously great writing;eye-opening reads;book club ideas;historical fiction;family matters,2013
A Corner Of White,Jaclyn Moriarty,384,1282191,0545397367,"young adult;sci fi, fantasy & speculative fiction;love & romance",2013
A Duke Never Yields,Juliana Gray,320,6632876,0425251187,love & romance;for history lovers;let’s talk about sex,2013
A Natural History Of Dragons: A Memoir By Lady Trent,Marie Brennan,336,476525,0765331969,"sci fi, fantasy & speculative fiction;for history lovers;it’s all geek to me;love & romance;science!",2013
A Reader's Book Of Days: True Tales From The Lives And Works Of Writers For Every Day Of The Year,Tom Nissley,464,1854771,0393239624,staff picks;for history lovers;nonfiction;rather long,2013
A Tale For The Time Being,Ruth Ozeki,432,441131,0670026638,realistic fiction;tales from around the world;for history lovers,2013
Aces Wild,Erica S. Perl,224,6690164,0307931722,kids’ books;funny stuff;family matters;staff picks,2013
Advice To Little Girls,"Mark Twain, Vladimir Radunsky",24,1247831,1592701299,kids’ books;funny stuff;staff picks,2013
After Visiting Friends: A Son's Story,Michael Hainey,320,2495284,1451676565,staff picks;biography & memoir;for history lovers;seriously great writing;family matters;book club ideas;nonfiction,2013
All That Is: A Novel,James Salter,304,1562832,1400043131,realistic fiction;love & romance;for history lovers;let’s talk about sex;historical fiction;family matters;seriously great writing,2013
Americanah: A Novel,Chimamanda Ngozi Adichie,496,349196,0307271080,realistic fiction;love & romance;tales from around the world;book club ideas;rather long;identity & culture;the states we’re in,2013
Amy Falls Down: A Novel,Jincy Willett,336,4539547,1250028272,realistic fiction;funny stuff,2013
Ancillary Justice,Ann Leckie,416,216433,031624662X,"sci fi, fantasy & speculative fiction;it’s all geek to me",2013
And The Mountains Echoed,Khaled Hosseini,404,150887,159463176X,realistic fiction;tales from around the world;family matters;book club ideas,2013
Animal Opposites,Petr Horacek,20,1182451,0763667765,kids’ books,2013
Appetite,Aaron Smith,72,4241018,0822962195,"short stories, essays & poetry;the dark side;seriously great writing;for art lovers;family matters;identity & culture",2013
At Last: A Novel,Edward St. Aubyn,272,2455744,1250023904,realistic fiction;the dark side;family matters;seriously great writing,2013
At Night We Walk In Circles: A Novel,Daniel Alarcón,384,4473910,1594631719,realistic fiction;tales from around the world;seriously great writing;no biz like show biz,2013
Battle Bunny,"Jon Scieszka, Mac Barnett, Matthew Myers",32,124135,1442446730,kids’ books;funny stuff,2013
Battling Boy,Paul Pope,208,1466548,1596431458,"comics & graphic novels;it’s all geek to me;sci fi, fantasy & speculative fiction;for art lovers",2013
Belmont: Poems,Stephen Burt,88,4717703,1555976441,"short stories, essays & poetry;seriously great writing;funny stuff;family matters",2013
Black Aperture: Poems,Matt Rassmussen,72,953234,080715086X,"short stories, essays & poetry;the dark side;seriously great writing;family matters",2013
Bobcat And Other Stories,Rebecca Lee,256,604820,1616201738,"short stories, essays & poetry;the dark side;seriously great writing;realistic fiction;seriously great writing;book club ideas;let’s talk about sex",2013
Bolivar: American Liberator,Marie Arana,624,682818,1439110190,nonfiction;tales from around the world;biography & memoir;for history lovers;rather long,2013
Book Of Ages: The Life And Opinions Of Jane Franklin,Jill Lepore,464,1247709,0307958345,biography & memoir;for history lovers;eye-opening reads;book club ideas;family matters;rather long;nonfiction,2013
Bough Down,Karen Green,188,909947,193822101X,biography & memoir;the dark side;rather short,2013
Boxers & Saints,Gene Luen Yang,512,52477,1596439246,comics & graphic novels;tales from around the world;for history lovers;seriously great writing;rather long;for art lovers;eye-opening reads;identity & culture,2013
Breakfast With Lucian: The Astounding Life And Outrageous Times Of Britain's Great Modern Painter,Geordie Greig,272,1801823,0374116482,biography & memoir;let’s talk about sex;eye-opening reads;for art lovers;family matters;nonfiction,2013
Brilliance,Marcus Sakey,439,235443,1611099692,"young adult;sci fi, fantasy & speculative fiction;it’s all geek to me;mysteries & thrillers;staff picks;rather long",2013
Captain Marvel Vol. 1: In Pursuit Of Flight,"Kelly Sue Deconnick, Dexter Soy, Emma Rios",136,309294,0785165495,"comics & graphic novels;it’s all geek to me;sci fi, fantasy & speculative fiction;rather short",2013
Cat Sense: How The New Feline Science Can Make You A Better Friend To Your Pet,John Bradshaw,336,624356,0465031013,nonfiction;staff picks;eye-opening reads;science!,2013
Chasing Utopia: A Hybrid,Nikki Giovanni,160,1924070,0688156975,"short stories, essays & poetry;staff picks;rather short;seriously great writing",2013
Cinnamon And Gunpowder: A Novel,Eli Brown,336,1239014,0374123667,realistic fiction;cookbooks & food;for history lovers;staff picks;book club ideas,2013
Claire DeWitt And The Bohemian Highway,Sara Gran,288,3035279,0547429339,mysteries & thrillers,2013
Claire Of The Sea Light,Edwidge Danticat,256,1859276,030727179X,staff picks;realistic fiction;tales from around the world;family matters;the dark side;book club ideas,2013
Count The Monkeys,"Mac Barnett, Kevin Cornell",32,217668,1423160657,kids’ books;funny stuff,2013
Countdown City: The Last Policeman Book II,Ben H. Winters,316,583939,1594746265,mysteries & thrillers;family matters,2013
Counting By 7s,Holly Goldberg Sloan,384,202837,0803738552,kids’ books;the dark side;family matters,2013
Crazy Thing Called Love,Molly O'Keefe,368,4157659,0345533690,love & romance;let’s talk about sex;no biz like show biz,2013
Daily Rituals: How Artists Work,Mason Currey,278,13651,0307273601,biography & memoir;for history lovers;eye-opening reads;for art lovers;nonfiction,2013
Diary Of Edward The Hamster 1990-1990,Miriam Elia And Ezra Elia,96,1785543,0399165975,funny stuff;rather short;the dark side,2013
Do You Believe In Magic? The Sense And Nonsense Of Alternative Medicine,Paul A. Offit,336,1504772,0062222961,staff picks;science!;eye-opening reads;book club ideas;nonfiction,2013
Doctor Sleep: A Novel,Stephen King,531,43532,1476727651,"mysteries & thrillers;sci fi, fantasy & speculative fiction;staff picks;rather long;the dark side",2013
"Dogtripping: 25 Rescues, 11 Volunteers, And 3 RVs On Our Canine Cross-Country Adventure",David Rosenfelt,288,144818,1250014697,staff picks;biography & memoir;funny stuff;nonfiction;the states we’re in,2013
Dream Eyes,Jayne Ann Krentz,416,1071778,0515154083,"love & romance;sci fi, fantasy & speculative fiction;let’s talk about sex;mysteries & thrillers",2013
Drinking With Men: A Memoir,Rosie Schaap,288,1468140,1594487111,biography & memoir;staff picks;nonfiction,2013
Eleanor & Park,Rainbow Rowell,336,72245,1250012570,staff picks;young adult;love & romance;the dark side;family matters,2013
Eleven Days: A Novel,Lea Carpenter,288,1662684,0307960706,realistic fiction;the dark side;book club ideas;family matters;the states we’re in,2013
Every Grain Of Rice: Simple Chinese Home Cooking,Fuchsia Dunlop,352,64780,0393089045,staff picks;cookbooks & food,2013
Fear Of Flying: A Novel,Erica Jong,384,2060666,0805098585,realistic fiction;love & romance;let’s talk about sex;for history lovers;eye-opening reads;staff picks;book club ideas,2013
Fever,Mary Beth Keane,320,1332937,1451693419,realistic fiction;for history lovers;eye-opening reads;historical fiction;science!,2013
Five Days At Memorial,Sheri Fink,576,346209,0307718964,staff picks;for history lovers;eye-opening reads;the dark side;rather long;book club ideas;the states we’re in;nonfiction,2013
Five Star Billionaire: A Novel,Tash Aw,400,520427,0812994345,realistic fiction;tales from around the world;book club ideas,2013
Flora And The Flamingo,Molly Idle,44,27954,1452110069,kids’ books;no biz like show biz,2013
Flora And Ulysses: The Illuminated Adventures,"Kate DiCamillo, K.G. Campbell",240,90567,076366040X,kids’ books;funny stuff,2013
Fosse,Sam Wasson,736,1523591,0547553293,staff picks;biography & memoir;it’s all geek to me;rather long;for history lovers;seriously great writing;no biz like show biz;nonfiction,2013
Frog Song,"Brenda Z. Guiberson, Gennady Spirin",40,489423,0805092544,kids’ books;tales from around the world;for music lovers,2013
From Scratch: Inside The Food Network,Allen Salkin,448,358616,0399159320,cookbooks & food;staff picks;nonfiction;no biz like show biz,2013
Going Under,Lauren Dane,320,7139123,0425262103,"love & romance;sci fi, fantasy & speculative fiction;let’s talk about sex",2013
Gorgeous,Paul Rudnick,336,1032480,0545464269,young adult;funny stuff,2013
Gris Grimly's Frankenstein,"Mary Shelley, Gris Grimly",208,933974,0061862975,comics & graphic novels;mysteries & thrillers;for history lovers;the dark side;it’s all geek to me,2013
Hand-Drying In America: And Other Stories,Ben Katchor,160,1163937,0307906906,comics & graphic novels;rather short;eye-opening reads;for art lovers,2013
Have You Seen My New Blue Socks?,"Eve Bunting, Sergio Ruzzier",32,1124839,0547752679,kids’ books,2013
Hiding Out At The Pancake Palace,Nan Marino,256,3048241,1596437537,kids’ books;for music lovers,2013
Hitler's Furies: German Women In The Nazi Killing Fields,Wendy Lower,288,1026139,0547863381,nonfiction;for history lovers;tales from around the world;eye-opening reads;the dark side;staff picks,2013
How Big Were Dinosaurs?,Lita Judge,40,436260,1596437197,kids’ books;for history lovers;it’s all geek to me,2013
How The Light Gets In: A Chief Inspector Gamache Novel,Louise Penny,405,750614,0312655479,mysteries & thrillers,2013
How To Get Filthy Rich In Rising Asia,Mohsin Hamid,240,1599271,1594487294,realistic fiction;tales from around the world;book club ideas,2013
How We Do It: The Evolution And Future Of Human Reproduction,Robert Martin,320,1753181,0465030157,staff picks;science!;eye-opening reads;it’s all geek to me;let’s talk about sex;family matters;for history lovers;nonfiction,2013
"Hyperbole And A Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, And Other Things That Happened",Allie Brosh,369,20114,1451666179,biography & memoir;comics & graphic novels;funny stuff;staff picks,2013
I Hate To Leave This Beautiful Place,Howard Norman,208,3443154,0547385420,biography & memoir;the dark side;seriously great writing;staff picks,2013
I Want To Show You More,Jamie Quatro,224,2758550,080212075X,"short stories, essays & poetry;let’s talk about sex;the dark side;seriously great writing;book club ideas;family matters",2013
